Quarter,Region,Count,Percentage
Q2 2024 (Apr-Jun),South,1652,35.35202225551038
Q2 2024 (Apr-Jun),West,1325,28.35437620372352
Q2 2024 (Apr-Jun),Midwest,877,18.767387117483416
Q2 2024 (Apr-Jun),Northeast,726,15.536058206719453
Q3 2024 (Jul-Sep),South,1670,36.209887250650475
Q3 2024 (Jul-Sep),West,1311,28.42584562012142
Q3 2024 (Jul-Sep),Midwest,840,18.21335646140503
Q3 2024 (Jul-Sep),Northeast,700,15.177797051170858
Q4 2024 (Oct-Dec),South,1613,35.05759617474462
Q4 2024 (Oct-Dec),West,1283,27.885242338622042
Q4 2024 (Oct-Dec),Midwest,883,19.19148011301891
Q4 2024 (Oct-Dec),Northeast,725,15.757444033905674
