Quarter,Category,Mean,Median,Std_Dev,N
Q2 2024 (Apr-Jun),Housing,4161.469555148005,3003.66665,4277.67938902656,4662
Q2 2024 (Apr-Jun),Transportation,2023.1544570337078,846.5,6122.483691930226,4450
Q2 2024 (Apr-Jun),Healthcare,1194.5804039142358,716.6667,1537.2884080753495,4011
Q2 2024 (Apr-Jun),Entertainment,665.6058032112527,280.0,1980.6834573743208,3768
Q2 2024 (Apr-Jun),Apparel,306.1827739624787,166.6667,563.6665735412826,3518
Q2 2024 (Apr-Jun),Education,2961.419452887538,800.0,6281.728176514295,329
Q3 2024 (Jul-Sep),Housing,4395.393452256943,3143.33335,5365.9273166192,4608
Q3 2024 (Jul-Sep),Transportation,2448.3797851566046,960.0,6977.916877606122,4406
Q3 2024 (Jul-Sep),Healthcare,1212.228672261484,729.16665,1561.1067435196362,3962
Q3 2024 (Jul-Sep),Entertainment,702.7757446447794,291.0,2185.9519219076005,3716
Q3 2024 (Jul-Sep),Apparel,304.80369980181206,166.6667,433.61788441412796,3532
Q3 2024 (Jul-Sep),Education,2113.4896551724137,800.0,4134.444196178161,290
Q4 2024 (Oct-Dec),Housing,4375.998075708061,3137.7566500000003,4718.397352134246,4590
Q4 2024 (Oct-Dec),Transportation,2469.3355252834467,925.0,7724.640083973261,4410
Q4 2024 (Oct-Dec),Healthcare,1227.994510488979,740.0,1679.983754351923,3947
Q4 2024 (Oct-Dec),Entertainment,741.4091763348537,297.0,2264.5400826586533,3727
Q4 2024 (Oct-Dec),Apparel,326.00648244081174,189.0,613.9173875549633,3548
Q4 2024 (Oct-Dec),Education,2997.9840954274355,620.0,5635.178441847224,503
